timestamp,total_gen_mw,total_emissions_kg,carbon_intensity
2019-10-25,78867.66666666667,728235520.0,384.06987414111427
2019-10-26,73359.75,575534600.0,327.3283193975814
2019-10-27,73281.45833333333,580790440.0,328.437380607472
2019-10-28,79321.70833333333,705676180.0,367.79808272257156
2019-10-29,81396.45833333333,748521060.0,380.5334254853329
2019-10-30,82035.91666666667,753730020.0,381.4825150864854
2019-10-31,84867.0,766945260.0,375.23885775902863
2019-11-01,84214.75,773022680.0,381.618368228568
2019-11-02,79991.16666666667,749320140.0,390.09085306115963
2019-11-03,77977.29166666667,697918000.0,372.45601940080957
2019-11-04,84521.20833333333,795898360.0,391.7328589634363
2019-11-05,83563.41666666667,809063600.0,402.60209201051316
2019-11-06,84701.875,817747340.0,401.8565440185694
2019-11-07,87825.375,862694360.0,407.84022975246694
2019-11-08,92071.45833333333,931947860.0,420.5538247133843
2019-11-09,89118.5,875837600.0,409.4012084033979
2019-11-10,81738.08333333333,771998620.0,393.1381345341024
2019-11-11,87414.125,818434060.0,388.88278356069355
2019-11-12,97171.25,992423900.0,422.19732681647423
2019-11-13,103943.08333333333,1097883060.0,439.684071328784
2019-11-14,100356.29166666667,1092910320.0,453.90883005265414
2019-11-15,94704.41666666667,1003486200.0,441.28558871114495
2019-11-16,89713.25,892757440.0,414.7196213304907
2019-11-17,88393.75,882265440.0,415.6413949387614
2019-11-18,91932.66666666667,923454240.0,418.10543369382395
2019-11-19,90071.75,904898640.0,418.17640027885506
2019-11-20,89761.625,851480260.0,395.0180761256501
2019-11-21,89577.125,796336540.0,369.99123098012706
2019-11-22,88870.54166666667,806078800.0,376.2563915287207
2019-11-23,87566.33333333333,799990260.0,380.26339575546973
2019-11-24,85089.0,703369480.0,343.9332587701547
2019-11-25,88673.58333333333,773532320.0,362.50530505490775
2019-11-26,88200.33333333333,756789000.0,356.6114433122591
2019-11-27,85817.91666666667,676715480.0,327.23953432868433
2019-11-28,81180.875,650875240.0,333.15215428562743
2019-11-29,83682.66666666667,711091720.0,353.0934506726588
2019-11-30,85547.66666666667,692546920.0,336.9414942011333
2019-12-01,87060.45833333333,722423340.0,344.19416194669753
2019-12-02,96175.375,883286520.0,379.7128603905673
