date,electricity_gwh,dc_energy_baseline_gwh,dc_energy_ai_gwh,dc_energy_adjusted_gwh,ai_multiplier,coal_pct,gas_pct,nuclear_pct,renewable_pct,renewable_share,intensity_factor,carbon_intensity,co2_coal_tons,co2_gas_tons,co2_nuclear_tons,co2_renewable_tons,co2_total_tons,grid_stress_pct,stress_penalty_pts,grid_stress_adjusted_pct
2033-10-01,26559.24051288758,6639.810128221895,14904.983744517865,14937.168838027017,2.244790657667396,0.0,73.1226277623964,16.08061658163362,10.79675565596996,0.1079675565596996,1.002159351131194,0.6702630009927617,0.0,4969714.917290382,12009.944244971912,24190.944320421964,5005915.805855775,56.240948722833096,1.0620474361416548,57.30299615897475
2033-11-01,26538.585608421145,6634.646402105286,14954.069783999736,14986.39567686928,2.2539362126751104,0.0,73.1100952476172,16.081511673953653,10.808393078429154,0.10808393078429153,1.0021616786156857,0.6701525358442405,0.0,4985238.509862481,12050.194851403094,24296.828295671174,5021585.533009555,56.470212459679246,1.0735106229839624,57.543723082663206
2033-12-01,26518.669259565628,6629.667314891407,15003.72624835423,15036.193857440003,2.2631190278059963,0.0,73.09779547326374,16.08235599433072,10.819848532405532,0.10819848532405532,1.002163969706481,0.6700441289658549,0.0,5000962.435958099,12090.871120755946,24403.401006208092,5037456.708085062,56.70040872060823,1.0850204360304117,57.78542915663864
2034-01-01,26499.08596528222,6624.771491320555,15053.728314221073,15086.338205401442,2.272339254862408,0.0,73.08590658926065,16.082925709392242,10.83116770134711,0.10831167701347111,1.0021662335402695,0.6699393928436153,0.0,5016824.107085536,12131.622829211865,24510.398865291452,5053466.12878004,56.93154180927904,1.096577090463952,58.02811889974299
2034-02-01,26472.251809115605,6618.062952278901,15099.75288391643,15132.505139798199,2.2815970462651607,0.0,73.07166083029088,16.0830438415139,10.845295328195212,0.10845295328195212,1.0021690590656391,0.6698140065382571,0.0,5031195.638050252,12168.837179765444,24617.473094481513,5067981.948324499,57.16364912556243,1.1081824562781215,58.27183158184055
2034-03-01,26446.244697009715,6611.561174252429,15146.376271392539,15179.271849749543,2.290892555056052,0.0,73.05739965611107,16.083376405574253,10.85922393831468,0.1085922393831468,1.0021718447876629,0.6696884416926627,0.0,5045759.491572385,12206.697136102963,24725.266835547955,5082691.455544036,57.39670045277116,1.1198350226385578,58.51653547540971
2034-04-01,26420.795027631644,6605.198756907911,15193.449485811383,15226.48829856146,2.3002259349003884,0.0,73.04336909983495,16.08391474017435,10.872716159990697,0.10872716159990697,1.0021745432319982,0.6695648651305127,0.0,5060482.722231949,12245.076979316249,24832.992807551767,5097560.792018817,57.63069689097981,1.1315348445489908,58.7622317355288
2034-05-01,26395.61729221658,6598.904323054145,15240.81187203116,15273.994186282353,2.309597340089531,0.0,73.02942161687814,16.0845722668441,10.88600611627776,0.1088600611627776,1.0021772012232555,0.669441995775159,0.0,5075301.873477106,12283.783164630755,24940.919119779093,5112526.575761516,57.86564495609004,1.143282247804502,59.00892720389454
2034-06-01,26371.01602574228,6592.75400643557,15288.642199328353,15321.968010841425,2.319006925543441,0.0,73.0157715322232,16.085349718905515,10.898878748871288,0.10898878748871288,1.0021797757497743,0.669321719539783,0.0,5090291.186451515,12322.960691813369,25048.840731636792,5127662.987874965,58.10154601508247,1.1550773007541235,59.25662331583659
2034-07-01,26346.975168994417,6586.743792248604,15336.9355077783,15370.404964105575,2.3284548468132424,0.0,73.00240576762377,16.08620443410103,10.911389798275197,0.10911389798275196,1.002182277959655,0.669203929868269,0.0,5105448.257010619,12362.57382437618,25156.871988105002,5142967.7028231,58.33840456263738,1.166920228131869,59.50532479076925
2034-08-01,26323.17607137138,6580.794017842845,15385.50985842741,15419.123186519266,2.337941260083796,0.0,72.98922329059538,16.08708019198155,10.923696517423082,0.10923696517423082,1.0021847393034846,0.6690877489188429,0.0,5120705.704687533,12402.433559578874,25265.0733381447,5158373.211585256,58.57622630609849,1.1788113153049247,59.75503762140342
