datetime_utc,respondent,demand_mwh
2019-01-20T02,PJM,99252.0
2019-01-20T03,PJM,96651.0
2019-01-20T04,PJM,93380.0
2019-01-20T05,PJM,89728.0
2019-01-20T06,PJM,87380.0
2019-01-20T07,PJM,85526.0
2019-01-20T08,PJM,84385.0
2019-01-20T09,PJM,83889.0
2019-01-20T10,PJM,83972.0
2019-01-20T11,PJM,84653.0
2019-01-20T12,PJM,86446.0
2019-01-20T13,PJM,89367.0
2019-01-20T14,PJM,92252.0
2019-01-20T15,PJM,95021.0
2019-01-20T16,PJM,96751.0
2019-01-20T17,PJM,97710.0
2019-01-20T18,PJM,97975.0
2019-01-20T19,PJM,97926.0
2019-01-20T20,PJM,97848.0
2019-01-20T21,PJM,98938.0
2019-01-20T22,PJM,103109.0
2019-01-20T23,PJM,110619.0
2019-01-21T00,PJM,115645.0
2019-01-21T01,PJM,116620.0
2019-01-21T02,PJM,116260.0
2019-01-21T03,PJM,114725.0
2019-01-21T04,PJM,112827.0
2019-01-21T05,PJM,110504.0
2019-01-21T06,PJM,109238.0
2019-01-21T07,PJM,110022.0
2019-01-21T08,PJM,110248.0
2019-01-21T09,PJM,111488.0
2019-01-21T10,PJM,113452.0
2019-01-21T11,PJM,118211.0
2019-01-21T12,PJM,124384.0
2019-01-21T13,PJM,129202.0
2019-01-21T14,PJM,130196.0
2019-01-21T15,PJM,129265.0
2019-01-21T16,PJM,128008.0
2019-01-21T17,PJM,125890.0
2019-01-21T18,PJM,123706.0
2019-01-21T19,PJM,121418.0
2019-01-21T20,PJM,119465.0
2019-01-21T21,PJM,119000.0
2019-01-21T22,PJM,121918.0
2019-01-21T23,PJM,128549.0
2019-01-22T00,PJM,132175.0
2019-01-22T01,PJM,131852.0
2019-01-22T02,PJM,130586.0
2019-01-22T03,PJM,127054.0
2019-01-22T04,PJM,122019.0
2019-01-22T05,PJM,117414.0
2019-01-22T06,PJM,115379.0
2019-01-22T07,PJM,114368.0
2019-01-22T08,PJM,114333.0
2019-01-22T09,PJM,114225.0
2019-01-22T10,PJM,115788.0
2019-01-22T11,PJM,119464.0
2019-01-22T12,PJM,126729.0
2019-01-22T13,PJM,130626.0
2019-01-22T14,PJM,129186.0
2019-01-22T15,PJM,124514.0
2019-01-22T16,PJM,120573.0
2019-01-22T17,PJM,116323.0
2019-01-22T18,PJM,112937.0
2019-01-22T19,PJM,110751.0
2019-01-22T20,PJM,108996.0
2019-01-22T21,PJM,109178.0
2019-01-22T22,PJM,110740.0
2019-01-22T23,PJM,116024.0
2019-01-23T00,PJM,118495.0
2019-01-23T01,PJM,117485.0
2019-01-23T02,PJM,115353.0
2019-01-23T03,PJM,111249.0
2019-01-23T04,PJM,105934.0
2019-01-23T05,PJM,101112.0
2019-01-23T06,PJM,97762.0
2019-01-23T07,PJM,95417.0
2019-01-23T08,PJM,94240.0
2019-01-23T09,PJM,93987.0
2019-01-23T10,PJM,95186.0
2019-01-23T11,PJM,98314.0
2019-01-23T12,PJM,105548.0
2019-01-23T13,PJM,109820.0
2019-01-23T14,PJM,108952.0
2019-01-23T15,PJM,107259.0
2019-01-23T16,PJM,105434.0
2019-01-23T17,PJM,103968.0
2019-01-23T18,PJM,102609.0
2019-01-23T19,PJM,102287.0
2019-01-23T20,PJM,101204.0
2019-01-23T21,PJM,100227.0
2019-01-23T22,PJM,101059.0
2019-01-23T23,PJM,103812.0
2019-01-24T00,PJM,104921.0
2019-01-24T01,PJM,103802.0
2019-01-24T02,PJM,102792.0
2019-01-24T03,PJM,99692.0
2019-01-24T04,PJM,94274.0
2019-01-24T05,PJM,89498.0
2019-01-24T06,PJM,86431.0
2019-01-24T07,PJM,84730.0
2019-01-24T08,PJM,84198.0
2019-01-24T09,PJM,84115.0
2019-01-24T10,PJM,85719.0
2019-01-24T11,PJM,89506.0
2019-01-24T12,PJM,95330.0
2019-01-24T13,PJM,100128.0
2019-01-24T14,PJM,100726.0
2019-01-24T15,PJM,100774.0
2019-01-24T16,PJM,101689.0
2019-01-24T17,PJM,102054.0
2019-01-24T18,PJM,102035.0
2019-01-24T19,PJM,102087.0
2019-01-24T20,PJM,101523.0
2019-01-24T21,PJM,100985.0
2019-01-24T22,PJM,102138.0
2019-01-24T23,PJM,106310.0
2019-01-25T00,PJM,109320.0
2019-01-25T01,PJM,109213.0
2019-01-25T02,PJM,108086.0
2019-01-25T03,PJM,105243.0
2019-01-25T04,PJM,100890.0
2019-01-25T05,PJM,97167.0
2019-01-25T06,PJM,95603.0
2019-01-25T07,PJM,94934.0
2019-01-25T08,PJM,94607.0
2019-01-25T09,PJM,94766.0
2019-01-25T10,PJM,95576.0
2019-01-25T11,PJM,100540.0
2019-01-25T12,PJM,108973.0
2019-01-25T13,PJM,114290.0
2019-01-25T14,PJM,113308.0
2019-01-25T15,PJM,110659.0
2019-01-25T16,PJM,108160.0
2019-01-25T17,PJM,106257.0
2019-01-25T18,PJM,104639.0
2019-01-25T19,PJM,103857.0
2019-01-25T20,PJM,103385.0
2019-01-25T21,PJM,102917.0
2019-01-25T22,PJM,104222.0
2019-01-25T23,PJM,109243.0
2019-01-26T00,PJM,113065.0
2019-01-26T01,PJM,112644.0
2019-01-26T02,PJM,111739.0
2019-01-26T03,PJM,109679.0
2019-01-26T04,PJM,106190.0
2019-01-26T05,PJM,102347.0
2019-01-26T06,PJM,99822.0
2019-01-26T07,PJM,98655.0
2019-01-26T08,PJM,98413.0
2019-01-26T09,PJM,98480.0
2019-01-26T10,PJM,99552.0
2019-01-26T11,PJM,101431.0
2019-01-26T12,PJM,104439.0
2019-01-26T13,PJM,107757.0
2019-01-26T14,PJM,109000.0
2019-01-26T15,PJM,107602.0
2019-01-26T16,PJM,105141.0
2019-01-26T17,PJM,102986.0
2019-01-26T18,PJM,100178.0
2019-01-26T19,PJM,97996.0
2019-01-26T20,PJM,97422.0
2019-01-26T21,PJM,97313.0
2019-01-26T22,PJM,98722.0
2019-01-26T23,PJM,102517.0
2019-01-27T00,PJM,105584.0
2019-01-27T01,PJM,105347.0
2019-01-27T02,PJM,104396.0
2019-01-27T03,PJM,102583.0
2019-01-27T04,PJM,100038.0
2019-01-27T05,PJM,97523.0
2019-01-27T06,PJM,95487.0
2019-01-27T07,PJM,95002.0
2019-01-27T08,PJM,94832.0
2019-01-27T09,PJM,94196.0
2019-01-27T10,PJM,95098.0
2019-01-27T11,PJM,94841.0
2019-01-27T12,PJM,96974.0
2019-01-27T13,PJM,99053.0
2019-01-27T14,PJM,99404.0
2019-01-27T15,PJM,98248.0
2019-01-27T16,PJM,96375.0
2019-01-27T17,PJM,95110.0
2019-01-27T18,PJM,94522.0
2019-01-27T19,PJM,93956.0
2019-01-27T20,PJM,93078.0
2019-01-27T21,PJM,93710.0
2019-01-27T22,PJM,94767.0
2019-01-27T23,PJM,99999.0
2019-01-28T00,PJM,104129.0
2019-01-28T01,PJM,104062.0
2019-01-28T02,PJM,103112.0
2019-01-28T03,PJM,100698.0
2019-01-28T04,PJM,96830.0
2019-01-28T05,PJM,93316.0
2019-01-28T06,PJM,91491.0
2019-01-28T07,PJM,91308.0
2019-01-28T08,PJM,91495.0
2019-01-28T09,PJM,92612.0
2019-01-28T10,PJM,94166.0
2019-01-28T11,PJM,99819.0
2019-01-28T12,PJM,108681.0
2019-01-28T13,PJM,113924.0
2019-01-28T14,PJM,113938.0
2019-01-28T15,PJM,111775.0
2019-01-28T16,PJM,109586.0
2019-01-28T17,PJM,107450.0
2019-01-28T18,PJM,105227.0
2019-01-28T19,PJM,103105.0
2019-01-28T20,PJM,101444.0
2019-01-28T21,PJM,100765.0
2019-01-28T22,PJM,102835.0
2019-01-28T23,PJM,108231.0
2019-01-29T00,PJM,112083.0
2019-01-29T01,PJM,112125.0
2019-01-29T02,PJM,110863.0
2019-01-29T03,PJM,107656.0
2019-01-29T04,PJM,102989.0
2019-01-29T05,PJM,99739.0
2019-01-29T06,PJM,98028.0
2019-01-29T07,PJM,96589.0
2019-01-29T08,PJM,96369.0
2019-01-29T09,PJM,96602.0
2019-01-29T10,PJM,97080.0
